street_name,lat,lon
Quaker Road,41.492607,-73.53113
State Highway 612,41.563656,-72.164665
Avery Lane,41.34324,-72.13812
Goodwin Street,41.789925,-72.60589
Reynolds Drive,41.541958,-73.088356
Father Salemi Drive,41.337933,-73.075005
Willow Lane,41.72258,-72.010704
Berkshire Drive,41.63097,-72.50279
Chestnut Tree Hill Road,41.504486,-73.19335
Broderick Road,41.65443,-72.906334
Sakrison Road,41.977802,-72.80983
Riverside Drive,41.52777,-72.86925
Stratford Avenue,41.181767,-73.1577
Birchwood Drive,41.58167,-72.6823
Circuit Court,41.969563,-71.89202
Warwick Street,41.549404,-72.65159
Metcalf Circle,41.90177,-72.68471
Boston Tpke,41.78953,-72.44703
Carriage Drive,41.694733,-72.59044
Maple Street,41.70261,-72.602
East Street,41.6716,-72.76377
Spring Glen Road,41.584663,-72.91939
Horace Street,41.802296,-73.139946
Cedarbrook Road,41.446373,-73.376724
Greendale Avenue,41.62156,-72.6468
Doctor Nott Road,41.60285,-72.14415
Saint Johns Road,41.228302,-73.442795
Old Putnam Road Exd,41.75809,-71.89886
Heritage Cove Road,41.368557,-72.38975
Richmond Street,41.34137,-72.1104
Marian Road,41.19305,-73.24108
Woodlawn Street,41.362972,-72.912155
West Main Street,41.666073,-72.79423
Cavan Lane,41.714634,-72.57582
Wilson Street,41.67281,-72.766045
Christian Road,41.50713,-73.14296
Brentwood Drive,41.28602,-72.60457
Oakdale Place,41.28244,-72.80055
Winding Lane,41.067314,-73.46276
John Street,41.279125,-72.52927
Sunnybrook Lane,41.28565,-72.541664
Meadowcrest Lane,41.600315,-73.12579
I 684,41.098587,-73.71606
Henry Street,41.609924,-73.00436
Tara Drive,41.831314,-73.08961
Granville Avenue,41.195652,-73.10321
Vernon Street,41.19075,-73.14027
Edgewater Road,41.381035,-72.89764
Washington Street,41.556282,-72.67125
Willenbroch Road,41.46457,-73.15069
Butternut Ridge Road,41.43405,-73.124084
Millcraft Road,41.573513,-73.00662
Ann Street,41.67186,-71.93138
Terra Nova Circle,41.130535,-73.38112
Chamberlain Place,41.294304,-72.89568
Eastview Street,41.736828,-72.688774
Linden Place,41.54061,-72.78853
Logan Road,41.183537,-73.52519
Old Colony Road,41.497917,-72.812126
Bergemann Hill Road,41.66632,-73.2286
South River Lane,41.81043,-71.892555
Academy Hill Ter,41.188957,-73.12701
Gorden Circle,41.884136,-72.68633
Zoar Avenue,41.59231,-73.09036
Redhead Hill Road,41.99918,-72.03475
Woodland Hills Drive,41.29169,-73.23613
Larkspur Lane,41.71589,-72.96168
Carriage Drive,41.399235,-72.831955
Cherry Street,41.42883,-73.274315
Converse Road,41.767838,-72.45132
Surrey Drive,41.45224,-73.37214
Sega Drive,41.53978,-73.42415
School Street,41.60525,-71.98175
West Main Street,41.225246,-73.06476
Longmeadow Drive,41.602024,-72.99031
Oak Bluff Avenue,41.155563,-73.12797
Rillbank Ter,41.766212,-72.77681
Clermont Street,41.734364,-72.70881
Bridle Path Road,41.777668,-73.19426
Candleview Drive,41.555984,-73.48593
Vista Ter,41.531822,-72.8768
Anthony Pond Road,41.396397,-73.139725
Rebillard Road,41.942844,-73.04418
Phelps Lane,41.875614,-72.80076
East Johnson Avenue,41.545525,-72.84873
Charles Street,41.177383,-73.15102
Bick Ter,41.1905,-73.216774
Robert Avenue,41.769836,-71.90037
Friendly Way,41.65667,-72.63292
East Mountain Drive,41.606583,-72.8239
Stonehenge Road,41.84095,-72.54084
South Orange Street,41.299816,-72.92686
Pinner Lane,41.14544,-73.54631
School Road,41.20945,-73.38048
Pond Lane,41.084656,-73.463615
Lawler Road,41.851643,-72.48923
Bank Street,41.39561,-73.07363
Burwell Court,41.218697,-73.00629
Park Place,41.0426,-73.578766
Teahouse Lane,41.32572,-73.54103
Briggs Court,41.20463,-73.0879
Spencer Road,41.840668,-73.07548
Mount Pleasant Street,41.681618,-72.982666
Stoneywood Drive,41.330433,-72.209915
Bujak Road,41.826496,-72.14764
Reilly Road,41.742546,-72.049614
Chipping Stone Court,41.52372,-72.88361
May Street,41.489204,-73.04741
Clark Street,41.5528,-72.780754
North Moodus Road,41.520267,-72.45411
Hamlet Lane,41.34994,-73.17577
Maynard Street,41.55386,-72.78766
Avery Road,41.992474,-72.31499
Margaret Drive,41.78354,-72.29662
Gorski Drive,41.842297,-72.609024
Country Club Road East,41.5309,-73.08416
Perry Lane,41.996746,-72.51335
Park Lane,41.276356,-72.64125
Fowler Avenue,41.54194,-72.8198
Lake Avenue,41.076576,-73.640686
Duffy Road,41.85365,-72.007904
State Highway 34,41.34452,-73.11944
Hickory Lane,41.7908,-72.165634
Birch Street,41.55846,-72.950775
Norman Road,41.391136,-72.94269
Harris Street,41.54809,-72.64351
Boyer Street,41.633022,-72.77816
Roodner Court,41.083305,-73.42712
Coen Street,41.494423,-73.048325
Oakland Avenue,41.207573,-73.03419
Forest Road,41.38039,-73.10348
Cornwall Road,41.646355,-72.79237
Lincoln Street,41.75343,-72.68601
Highland Drive,41.47989,-72.83961
Foster Street,41.542393,-72.80424
Erie Lane,41.326447,-72.000885
Fawn Ridge Lane,41.163113,-73.415955
Goodwives River Road,41.062534,-73.476265
State Highway 137,41.056778,-73.543335
Ridge Road North,41.4459,-72.69241
Jackson Road,41.36111,-72.89767
Vernon Street,41.193474,-73.18604
Marc Drive,41.578564,-73.140076
River Road,41.37892,-72.90081
Derby Street,41.684044,-72.7775
Federal Street,41.22258,-73.25401
Griffen Drive,41.349525,-71.946304
Deane Court,41.077236,-73.44269
Cambridge Court,41.57925,-72.70025
Bradley Drive,41.9675,-72.32865
Hillcrest Drive,41.797394,-72.21506
Hatch Hill Road,41.82183,-72.430244
Northwoods Road,41.075558,-73.54522
Marwood Drive,41.680996,-72.81472
Hope Valley Road,41.63538,-72.37533
Spring Hill Road,41.78639,-73.07659
Cutter Drive,41.36271,-71.95642
Cards Mill Road,41.70988,-72.25211
Linden Avenue,41.067455,-73.49838
Orchard Street,41.919075,-73.075424
Brookside,41.943615,-71.95789
Brown Avenue,41.61099,-71.97584
Laurel Trail,41.435482,-73.25072
Midland Street,41.801662,-72.65846
Brown Street,41.301823,-72.916885
Coachlamp Lane,41.317837,-72.705086
Kingsbridge Way,41.2817,-72.55984
Cedar Street,41.34873,-72.4212
Carriage Crossing Lane,41.58785,-72.708565
I 95,41.302273,-72.410324
Reef Road,41.13459,-73.25124
Bayberry Trail,41.822414,-72.536156
Payne Drive,41.525967,-72.880325
Helena Lane,41.922375,-72.6511
Kluge Road,41.470993,-72.96852
Trumbull Avenue,41.22025,-73.195
Lancer Road,41.05221,-73.579865
Flagler Avenue,41.28692,-72.28229
Graves Street,41.937656,-72.63307
Mark Drive,41.738228,-72.182884
Keeler Avenue,41.206993,-73.209206
Pickett District Road,41.565277,-73.41441
Fawn Lane,41.3398,-72.73727
Cottage Road,41.787857,-73.10355
Kristens Place,41.595642,-72.87166
Hilltop Place,41.337418,-72.97063
Mulberry Gardens,41.57257,-72.89139
Quaker Lane South,41.76026,-72.72925
Lathrop Court,41.540234,-72.084366
Mary Violet Road,41.10747,-73.517075
Brockett Place,41.275764,-72.87974
Arrowhead Way,41.184284,-73.36143
Green Avenue,41.609955,-71.98158
East Shore Drive,41.41976,-72.56672
Logger Hill Road,41.337933,-72.147934
Kenmore Road,41.819004,-72.77994
Tinywood Road,41.102512,-73.5031
Hiawatha Lane Exd,41.11695,-73.38116
Ellsworth Avenue,41.401928,-73.452194
Overlook Road,41.64787,-72.98507
Parley Road,41.35561,-73.53613
Great Meadow Drive,41.207794,-73.075294
Howe Road,41.566994,-73.42105
Mathewson Road,41.907883,-71.96047
Fox Run Road,41.185326,-73.47831
Rogers Drive,41.343166,-71.95539
West Meadow Place,41.087013,-73.41955
Tyler Ridge Road,41.827396,-73.258064
Doerring Drive,41.608006,-72.65063
North Parker Hill Road,41.405094,-72.55225
State Highway 401,41.930706,-72.6901
Bantle Road,41.738014,-72.60389
Lake Avenue Exd,41.325874,-72.20034
Anderson Road,41.413235,-72.77996
Sunrise Rdg,41.542664,-72.69687
Draher Street,41.547935,-73.050835
Cundall Street,41.796856,-71.90187
Sanford Avenue,41.675297,-73.07572
West Newberry Road,41.865932,-72.7141
Irving Street,41.778175,-72.68672
Black Rock Road,41.177433,-73.558105
Goodsell Street,41.190384,-73.19712
Johnson Lane,41.223488,-73.14468
Main Street,41.18699,-73.193794
Minortown Road Con,41.57254,-73.18443
Hoopole Hill Road,41.381214,-72.48126
Huntington Place,41.530193,-72.07566
Hubbell Drive,41.32411,-73.263725
Valleyview Drive,41.398586,-72.911865
Alice Court,41.321426,-73.1701
Blanchard Lane,41.37503,-71.83337
Edson Avenue,41.52638,-72.77338
Village Wood Drive,41.53605,-72.97965
Walker Brook Road North,41.635868,-73.357086
Paper Mill Road,41.60723,-72.038666
Fairview Avenue,41.20264,-73.207375
Twin Ridge Road,41.26258,-73.47508
Sedan Ter,41.192627,-73.22093
Ann Street,41.270756,-73.23095
Grilleytown Road,41.577904,-73.01366
